hostname	gaia_id	default_flag	st_refname	st_vsin	st_vsinerr1	st_vsinerr2	st_vsinlim	rowupdate	releasedate;;
HD 213240	Gaia DR2 6517058790835773440	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 213885	Gaia DR2 6407428994690988928	1	<a refstr=ESPINOZA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2982E/abstract target=ref>Espinoza et al. 2020</a>	3.0	0.2	-0.2	0.0	2019-12-02	2019-12-05;;
HD 213885	Gaia DR2 6407428994690988928	1	<a refstr=ESPINOZA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2982E/abstract target=ref>Espinoza et al. 2020</a>	3.0	0.2	-0.2	0.0	2019-12-02	2019-12-05;;
HD 21411	Gaia DR2 5056511692465250304	1	<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>					2019-05-20	2019-05-23;;
HD 214823	Gaia DR2 1889143121789650176	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
HD 215152	Gaia DR2 2623505219992303104	1	<a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>	3.35			0.0	2018-02-20	2018-02-22;;
HD 215152	Gaia DR2 2623505219992303104	1	<a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>	3.35			0.0	2018-02-20	2018-02-22;;
HD 215152	Gaia DR2 2623505219992303104	1	<a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>	3.35			0.0	2018-02-20	2018-02-22;;
HD 215152	Gaia DR2 2623505219992303104	1	<a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>	3.35			0.0	2018-02-20	2018-02-22;;
HD 215497	Gaia DR2 6504232472302122624	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
