hostname	gaia_id	default_flag	st_refname	st_vsin	st_vsinerr1	st_vsinerr2	st_vsinlim	rowupdate	releasedate;;
EPIC 201238110	Gaia DR2 3600975145895223040	1	<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>					2019-06-03	2019-06-13;;
EPIC 201497682	Gaia DR2 3810098271767907840	1	<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>					2019-06-03	2019-06-13;;
EPIC 201595106	Gaia DR2 3701123406596146048	1	<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>					2021-10-25	2021-10-25;;
K2-166	Gaia DR2 3701015375282968064	1	<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>					2019-06-03	2019-06-13;;
K2-16	Gaia DR2 3897048338487064064	1	<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>					2019-06-03	2019-06-13;;
K2-50	Gaia DR2 3817000078053804672	1	<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>					2019-06-03	2019-06-13;;
EPIC 201841433	Gaia DR2 3909373932553827072	1	<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>					2020-11-13	2020-11-19;
K2-168	Gaia DR2 6826271727199243264	1	<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>					2019-08-09	2019-08-15;;
EPIC 206024342	Gaia DR2 6839540362940861568	1	<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>					2019-06-03	2019-06-13;;
EPIC 206024342	Gaia DR2 6839540362940861568	1	<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>					2021-10-25	2021-10-25;;
EPIC 206024342	Gaia DR2 6839540362940861568	1	<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>					2021-10-25	2021-10-25;;
EPIC 206032309	Gaia DR2 2597400855444243840	1	<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>					2019-06-03	2019-06-13;;
EPIC 206042996	Gaia DR2 2600942622915012608	1	<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>					2022-03-28	2022-03-28;;
EPIC 206042996	Gaia DR2 2600942622915012608	1	<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>					2021-10-25	2021-10-25;;
EPIC 206215704	Gaia DR2 2615281560211505408	1	<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>					2022-03-28	2022-03-28;;
EPIC 206317286	Gaia DR2 2621545958991110144	1	<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>					2019-06-03	2019-06-13;;
EPIC 206317286	Gaia DR2 2621545958991110144	1	<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>					2022-03-16	2022-03-16;;
EPIC 211822797	Gaia DR2 658607950370340608	1	<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210903346C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2021</a>					2021-09-20	2021-09-20;
EPIC 211945201	Gaia DR2 636363799347569408	1	<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>					2018-10-24	2018-10-26;;
EPIC 212297394	Gaia DR2 6294955311720593024	1	<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>					2021-08-30	2021-08-30;;
EPIC 212297394	Gaia DR2 6294955311720593024	1	<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>					2021-08-23	2021-08-23;;
EPIC 212424622	Gaia DR2 3608139421926380544	1	<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>					2019-06-03	2019-06-13;;
EPIC 212499991	Gaia DR2 3610090784483619456	1	<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>					2019-06-03	2019-06-13;;
EPIC 212587672	Gaia DR2 3616620814104819328	1	<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>					2021-08-30	2021-08-30;;
EPIC 212587672	Gaia DR2 3616620814104819328	1	<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>					2021-08-23	2021-08-23;;
EPIC 212624936	Gaia DR2 3614661419960402944	1	<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>					2021-10-25	2021-10-25;;
EPIC 212624936	Gaia DR2 3614661419960402944	1	<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>					2021-10-25	2021-10-25;;
EPIC 212737443	Gaia DR2 3630680754621236096	1	<a refstr=HERATH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.488..536H/abstract target=ref>Herath et al. 2019</a>					2019-07-19	2019-07-25;;
EPIC 212737443	Gaia DR2 3630680754621236096	1	<a refstr=HERATH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.488..536H/abstract target=ref>Herath et al. 2019</a>					2019-07-19	2019-07-25;;
EPIC 220492298	Gaia DR2 2576563907506735232	1	<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>					2021-10-25	2021-10-25;;
K2-282	Gaia DR2 2580848395082660992	1	<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>					2022-03-28	2022-03-28;;
EPIC 220674823	Gaia DR2 2582617711154563968	1	<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>					2022-03-28	2022-03-28;;
EPIC 220674823	Gaia DR2 2582617711154563968	1	<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>					2022-03-28	2022-03-28;;
EPIC 228836835	Gaia DR2 3680103286893920768	1	<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>					2021-10-25	2021-10-25;;
EPIC 246851721	Gaia DR2 3393939026234131584	1	<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..250Y/abstract target=ref>Yu et al. 2018</a>	74.92	0.62	-0.6	0.0	2019-12-02	2018-10-26;;
EPIC 248847494	Gaia DR2 3882879683758393344	1	<a refstr=GILES_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615L..13G/abstract target=ref>Giles et al. 2018</a>					2019-07-19	2019-07-25;;
EPIC 249893012	Gaia DR2 6259263137059042048	1	<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>	2.1	0.5	-0.5	0.0	2020-02-06	2020-02-13;;
EPIC 249893012	Gaia DR2 6259263137059042048	1	<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>	2.1	0.5	-0.5	0.0	2020-02-06	2020-02-13;;
EPIC 249893012	Gaia DR2 6259263137059042048	1	<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>	2.1	0.5	-0.5	0.0	2020-02-06	2020-02-13;;
G 264-012	Gaia DR2 2222540228723911168	1	<a refstr=AMADO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...650A.188A/abstract target=ref>Amado et al. 2021</a>	2.0			1.0	2021-07-12	2021-07-12;;
G 264-012	Gaia DR2 2222540228723911168	1	<a refstr=AMADO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...650A.188A/abstract target=ref>Amado et al. 2021</a>	2.0			1.0	2021-07-12	2021-07-12;;
G 9-40	Gaia DR2 684992690384102528	1	<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..100S/abstract target=ref>Stefansson et al. 2020</a>	2.0			1.0	2023-02-25	2023-02-25;;
GJ 1061	Gaia DR2 4848140361962951552	1	<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>	2.5			1.0	2020-02-21	2020-02-27;;
GJ 1061	Gaia DR2 4848140361962951552	1	<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>	2.5			1.0	2020-02-21	2020-02-27;;
GJ 1061	Gaia DR2 4848140361962951552	1	<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>	2.5			1.0	2020-02-21	2020-02-27;;
GJ 1132	Gaia DR2 5413438219396893568	1	<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.142B/abstract target=ref>Bonfils et al. 2018</a>					2020-05-28	2020-06-04;;
GJ 1132	Gaia DR2 5413438219396893568	1	<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.142B/abstract target=ref>Bonfils et al. 2018</a>					2018-06-26	2018-06-21;;
GJ 1148	Gaia DR2 772430527947893632	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2017-10-16	2017-10-19;;
GJ 1148	Gaia DR2 772430527947893632	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2017-10-16	2017-10-19;;
GJ 1214	Gaia DR2 4393265392167891712	1	<a refstr=CLOUTIER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714732C/abstract target=ref>Cloutier et al. 2021</a>					2021-08-16	2021-08-16;;
GJ 1252	Gaia DR2 6468968316900356736	1	<a refstr=CROSSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220809479C/abstract target=ref>Crossfield et al. 2022</a>					2022-09-19	2022-09-19;;
GJ 1265	Gaia DR2 6825822095663585536	1	<a refstr=LUQUE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...620A.171L/abstract target=ref>Luque et al. 2018</a>	2.0			1.0	2018-12-03	2018-12-06;;
GJ 143	Gaia DR2 4673947174316727040	1	<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>					2019-04-22	2019-04-25;;
GJ 15 A	Gaia DR2 385334230892516480	1	<a refstr=PINAMONTI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A.104P/abstract target=ref>Pinamonti et al. 2018</a>	1.09	0.79	-0.79	0.0	2019-10-02	2019-10-10;;
GJ 15 A	Gaia DR2 385334230892516480	1	<a refstr=PINAMONTI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A.104P/abstract target=ref>Pinamonti et al. 2018</a>	1.09	0.79	-0.79	0.0	2019-10-02	2019-10-10;;
GJ 160.2	Gaia DR2 5091077112523802112	1	<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>					2019-10-04	2019-10-10;;
GJ 163	Gaia DR2 4780294722094459904	1	<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>					2017-01-24	2017-01-26;;
GJ 163	Gaia DR2 4780294722094459904	1	<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>					2017-01-24	2017-01-26;;
GJ 163	Gaia DR2 4780294722094459904	1	<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>					2017-01-24	2017-01-26;;
GJ 179	Gaia DR2 3288082758293022848	1	<a refstr=HOWARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...721.1467H/abstract target=ref> Howard et al. 2010 </a>	1.5			1.0	2014-05-14	2014-05-14;;
GJ 180	Gaia DR2 2979590513145784192	1	<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>					2020-02-06	2020-02-13;;
GJ 180	Gaia DR2 2979590513145784192	1	<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>					2019-10-04	2019-10-10;;
GJ 180	Gaia DR2 2979590513145784192	1	<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>					2020-02-06	2020-02-13;;
GJ 2030	Gaia DR2 5168359139139252352	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-21	2022-09-21;;
GJ 2030	Gaia DR2 5168359139139252352	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
GJ 2056	Gaia DR2 5617244278837970816	1	<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..250...29F/abstract target=ref>Feng et al. 2020</a>					2020-09-08	2020-09-03;;
GJ 229	Gaia DR2 2940856402123426176	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-21	2022-09-21;;
GJ 229	Gaia DR2 2940856402123426176	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-21	2022-09-21;;
GJ 251	Gaia DR2 939072613334579328	1	<a refstr=STOCK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A.112S/abstract target=ref>Stock et al. 2020</a>	2.0			1.0	2021-02-26	2021-03-04;;
GJ 27.1	Gaia DR2 4980466929964496128	1	<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>					2019-10-04	2019-10-10;;
GJ 3021	Gaia DR2 4634528720388462592	1	<a refstr=NAEF_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001A&A...375..205N/abstract target=ref> Naef et al. 2001 </a>	5.5	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
GJ 3082	Gaia DR2 4915139584039259392	1	<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>					2020-02-06	2020-02-13;;
GJ 3090	Gaia DR2 4933912198893332224	1	<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>	1.468	0.05	-0.05	1.0	2022-09-14	2022-09-14;;
GJ 3138	Gaia DR2 5144740907820131840	1	<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>					2017-03-29	2017-03-30;;
GJ 3138	Gaia DR2 5144740907820131840	1	<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>					2017-03-29	2017-03-30;;
GJ 3138	Gaia DR2 5144740907820131840	1	<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>					2017-03-29	2017-03-30;;
GJ 317	Gaia DR2 5701750711020088192	1	<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>					2020-09-08	2020-09-03;;
GJ 317	Gaia DR2 5701750711020088192	1	<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>					2020-09-08	2020-09-03;;
GJ 328	Gaia DR2 577602496345490176	1	<a refstr=ROBERTSON_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774..147R/abstract target=ref> Robertson et al. 2013 </a>					2014-05-14	2014-05-14;;
GJ 3293	Gaia DR2 4893118771316702720	1	<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>					2017-03-29	2017-03-30;;
GJ 3293	Gaia DR2 4893118771316702720	1	<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>					2017-03-29	2017-03-30;;
GJ 3293	Gaia DR2 4893118771316702720	1	<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>					2017-03-29	2017-03-30;;
GJ 3293	Gaia DR2 4893118771316702720	1	<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>					2017-03-29	2017-03-30;;
GJ 3323	Gaia DR2 3187115498866675456	1	<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>					2017-03-29	2017-03-30;;
GJ 3323	Gaia DR2 3187115498866675456	1	<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>					2017-03-29	2017-03-30;;
GJ 3341	Gaia DR2 4827532078086044416	1	<a refstr=ASTUDILLO_DEFRU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A.119A/abstract target=ref>Astudillo-Defru et al. 2015</a>					2014-12-03	2014-12-03;;
GJ 338 B	Gaia DR2 1022456104850892928	1	<a refstr=DITOMASSO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221012211D/abstract target=ref>DiTomasso et al. 2022</a>	2.3	1.5	-1.5	0.0	2023-01-18	2023-01-18;;
GJ 3470	Gaia DR2 654687847820642560	1	<a refstr=AWIPHAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.2574A/abstract target=ref>Awiphan et al. 2016</a>					2019-01-28	2016-09-29;;
GJ 3473	Gaia DR2 3094290054327367168	1	<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>	2.0			1.0	2020-10-16	2020-10-22;;
GJ 3473	Gaia DR2 3094290054327367168	1	<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>	2.0			1.0	2020-10-16	2020-10-22;;
GJ 3512	Gaia DR2 1040827088726734976	1	<a refstr=MORALES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019Sci...365.1441M/abstract target=ref>Morales et al. 2019</a>					2022-07-18	2022-07-18;;
GJ 3512	Gaia DR2 1040827088726734976	1	<a refstr=MORALES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019Sci...365.1441M/abstract target=ref>Morales et al. 2019</a>					2022-07-18	2022-07-18;;
GJ 357	Gaia DR2 5664814198431308288	1	<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>	2.0			1.0	2019-08-09	2019-08-15;;
GJ 357	Gaia DR2 5664814198431308288	1	<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>	2.0			1.0	2019-07-29	2019-08-01;;
GJ 357	Gaia DR2 5664814198431308288	1	<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>	2.0			1.0	2019-07-29	2019-08-01;;
GJ 3634	Gaia DR2 5452743423618768000	1	<a refstr=BONFILS_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A.111B/abstract target=ref> Bonfils et al. 2011 </a>	1.0			1.0	2014-08-21	2014-08-21;;
GJ 367	Gaia DR2 5412250540681250560	1	<a refstr=LAM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...374.1271L/abstract target=ref>Lam et al. 2021</a>					2021-12-02	2021-12-02;;
GJ 3779	Gaia DR2 1446540213584440704	1	<a refstr=LUQUE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...620A.171L/abstract target=ref>Luque et al. 2018</a>	2.0			1.0	2018-12-03	2018-12-06;;
GJ 3929	Gaia DR2 1372215976327300480	1	<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>	2.0			1.0	2022-08-01	2022-08-01;;
GJ 3929	Gaia DR2 1372215976327300480	1	<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>	2.0			1.0	2022-08-01	2022-08-01;;
GJ 393	Gaia DR2 3855208897392952192	1	<a refstr=AMADO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...650A.188A/abstract target=ref>Amado et al. 2021</a>	2.0			1.0	2021-07-12	2021-07-12;;
GJ 3942	Gaia DR2 1428030622526979968	1	<a refstr=PERGER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..63P/abstract target=ref>Perger et al. 2017</a>	1.67	0.3	-0.3	0.0	2017-12-19	2017-12-21;;
GJ 3998	Gaia DR2 4540061704988054400	1	<a refstr=AFFER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...593A.117A/abstract target=ref>Affer et al. 2016</a>	0.93	0.55	-0.55	0.0	2016-07-26	2016-07-28;;
GJ 3998	Gaia DR2 4540061704988054400	1	<a refstr=AFFER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...593A.117A/abstract target=ref>Affer et al. 2016</a>	0.93	0.55	-0.55	0.0	2016-07-26	2016-07-28;;
GJ 414 A	Gaia DR2 732857558276385664	1	<a refstr=DEDRICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...86D/abstract target=ref>Dedrick et al. 2021</a>					2021-03-25	2021-04-01;;
GJ 414 A	Gaia DR2 732857558276385664	1	<a refstr=DEDRICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...86D/abstract target=ref>Dedrick et al. 2021</a>					2021-03-25	2021-04-01;;
GJ 422	Gaia DR2 5339892367683264384	1	<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>					2020-02-06	2020-02-13;;
GJ 4276	Gaia DR2 2200501793758177152	1	<a refstr=NAGEL_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A.153N/abstract target=ref>Nagel et al. 2019</a>	2.0			1.0	2019-01-22	2019-01-24;;
GJ 433	Gaia DR2 3478160727866058368	1	<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>					2020-02-06	2020-02-13;;
GJ 433	Gaia DR2 3478160727866058368	1	<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>					2020-02-07	2020-02-13;;
